Categoria;Especie;Numero;Ano;Data;NUP;Normativo;Situacao;Legislacao;Palavras;Descricao;Interessados;Correlacoes;Link
Patentes;Parecer PFE;25;2018;25/05/2018;"
52400.071656/2018-35
";Não;Vigente;Arts. 218 e 219 da Lei nº 9.279;ATOS ADMINISTRATIVOS;Trata-se da análise de minuta de resolução que disciplina o processo de prioridade de pedidos de patente depositados ICTs, tendo a Procuradoria já se manifestado sobre a questão através do Parecer nº 0020-2017-AGU/PGF/PFE/INPI/COOPI-LBC-1. 0. A Procuradoria não identifica óbice jurídico à aprovação da minuta, apontando que o ato normativo destina-se a estabelecer a fase II do Projeto Piloto Patentes ICTs, que incentiva o depósito de seus pedidos de patentes, contribuindo para a gestão dos ativos imateriais dos depositantes e mitigando os efeitos do backlog de patentes. ;DIRPA;"Parecer nº 0020-2017-AGU/PGF/PFE/INPI/COOPI-LBC-1. 0. 
Resolução INPI nº 191, de 18 de maio de 2017";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2018/30-parecer-n-00025-2018-procgabpfe-inpi-pgf-agu.pdf
Marcas;Parecer PFE;3;2018;10/05/2018;"
52400.061642/2018-11
";Não;Vigente;Art. 128, 142 e 217 da LPI;"REGISTRO DE MARCAS, PATENTES OU INVENÇÕES

";Trata-se de processo instaurado para exame dos aspectos jurídicos relacionados à adesão do Protocolo de Madri, acordo que viabiliza um sistema internacional de registro de marcas. Dois os pontos da adesão ao Protocolo de Madri despertam uma dúvida de caráter jurídico: a aplicação do art. 217 da LPI, bem como a observância da regra disposta no art. 128, § 1º da LPI. Concluiu-se no sentido de que o Protocolo de Madri, uma vez incorporado à ordem jurídica brasileira, assume autoridade de lei ordinária e, por ser norma de natureza especial, faz com que se tornem inaplicáveis determinadas regras previstas na LPI que sejam com ele incompatíveis, com arrimo no art. 2º, §º da Lei de Introdução ao Direito Brasileiro. Assim, restaria afastada a incidência da regra prevista no art. 217 da LPI, porquanto incompatível com o regime instituído pelo Tratado Internacional, do que resultaria a ineficácia da sanção prevista no art. 142, IV da LPI para os registros concedidos com base no Protocolo de Madri. Em relação ao art. 128, § 1º da LPI, ainda que se possa adotar a inteligência esposada acima para superar a antinomia entre as normas, cuida recomendar ao INPI que adote todos os esforços possíveis para viabilizar a exigência do artigo. ;DIRMA;Protocolo de Madri;https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2018/parecer-n-00003-2018-procgab-pfe-inpi-pgf-agu_anexo-carta-ompi.pdf
Administrativo;Parecer PFE;24;2018;10/05/2018;52400.028950/2018-27;Não;Vigente;Decreto nº 7.689, de 2012;Administrativo. Contratos abaixo de 10 milhões;Trata-se de consulta formulada pela Diretoria Executiva solicitando esclarecimento quanto à interpretação da Portaria nº 2. 259-SEI. A Procuradoria entende que a referida portaria, em conformidade com o Decreto nº 7. 689/2012, não possui norma expressa sobre delegação de competência para autorizar a celebração de novos contratos, ou prorrogações, com valores inferiores a dez milhões. Mostra-se razoável reconhecer o Presidente do INPI como autoridade competente para autorizar a celebração de novos contratos, e respectivas contratações, com valores inferiores a dez milhões. Enquanto não houver Portaria ministerial autorizando o Presidente subdelegar a competência em tela nas contratações com valores inferiores a dez milhões, é medida de prudência, entender pela inviabilidade da subdelegação. ;Presidência do INPI;Portaria MDIC nº 2. 259-SEI, de 2017;https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2018/29-parecer-n-00024-2018-procgab-pfe-inpi-pgf-agu.pdf
Administrativo;Parecer PFE;22;2018;03/05/2018;"
52400.046094/2018-91
";Não;Vigente;"Lei Complementar nº 95, de 1995
Decreto nº 9.191, de 2017";CONSULTA SOBRE NOVOS PROCEDIMENTOS RELATIVOS AO REGISTRO DE DIPLOMA DO PROGRAMA DE PÓS-GRADUAÇÃO EM PROPRIEDADE INTELECTUAL E INOVAÇÃO DO INPI;Procuradoria entende que não há óbice jurídico à emissão, ao registro e à expedição de diplomas dos Cursos de Pós-Graduação do INPI pela Academia de Propriedade Intelectual e Inovação do INPI. A Resolução nº 7, de 11 de dezembro de 2017, da Câmara de Educação Superior do Conselho Nacional de Educação Superior do MEC, em seu art. 8º, § 3º, admite expressamente a emissão e o registro dos diplomas de cursos de Mestrados ou Doutorados pelas Instituições de Educação Superior (IES) credenciadas e não credenciadas que ofereçam esses cursos de modo regular, independentemente da organização acadêmica. Sugere-se a revisão da minuta da Resolução;ACAD/INPI;"Portaria DAU/MEC nº 33, de 2 de agosto de 1978
Processo nº 52400. 021209/2018-35";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2018/28-parecer-n-00022-2018-procgab-pfe-inpi-pgf-agu.pdf
Patentes;Parecer PFE;20;2018;25/04/2018;"00424.040454/2018-70 (REF. 1007660-18.2018.4.01.3400)
";Não;Vigente;Art. 4º, §1º, II, da LPI;REGISTRO DE MARCAS, PATENTES OU INVENÇÕES. Ação civil pública sobre a Portaria Conjunta ANVISA/INPI nº 01, de 2017;Trata-se de ação civil pública sobre a portaria conjunta da ANVISA e INPI, tendo a autarquia sido intimada a se manifestar em 72h. A Procuradoria oferece subsídios para defesa da legalidade da portaria e junta anexo com manifestação a ser juntada no processo judicial. ;DIRPA;"Portaria Conjunta nº 01/2017 do INPI e da ANVISA. 
Parecer nº 0037-2016-AGU/PGF/PFE/INPI/COOPI-LBC-1. 0, elaborado pela Procuradoria Federal Especializada junto ao INPI, em 18 de julho de 2016 (fls. 03/08 do processo administrativo 52400. 11. 0793/2016-31); 
Parecer nº 435/2016/CONJUR-MDIC/CGU/AGU, de 26 de julho de 2016, elaborado pela Consultoria Jurídica do MDIC (fls. 18/19 do processo administrativo 52400. 11. 0793/2016-31);
Parecer nº 58-2016-AGU/PGF/PFE/INPI/COOPI-LBC-1. 0, elaborado pela Procuradoria Federal Especializada junto ao INPI, em 10 de novembro de 2016, elaborado pela Procuradoria Federal Especializada junto ao INPI (fls. 10/21 do processo administrativo 52400. 181334/2016-31);
Parecer Cons. nº 05/2017/PF-ANVISA/PGF/AGU, elaborado pela Procuradoria Federal junto à ANVISA, de 7 de fevereiro de 2017 (fls. 119/120 do processo administrativo 52400. 110793/2016-31);
Parecer nº 13-2017-AGU/PGF/PFE/INPI/COOPI-LBC-1. 0, elaborado pela Procuradoria Federal Especializada junto ao INPI, em 11 de abril de 2017 (fls. 77/86 do processo administrativo 52400. 181334-2016-31)";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2018/parecer-n-00020-2018-procgab-pfe-inpi-pgf-agu.pdf
Indicações geográficas;Parecer PFE;19;2018;19/04/2018;52400.058691/2018-69;Não;Vigente;Arts. 182 e 192 da Lei nº 9.279, de 1996;MINUTA DE RESOLUÇÃO GMC SOBRE INDICAÇÃO GEOGRÁFICA;Em análise de minuta, vislumbrou-se que seu art. 2º ensejará violação aos arts. 182 e 192 da Lei nº 9. 279, de 1996, o que justifica um posicionamento contrário da PFE/INPI. A proposta apresentada pelo INPI adota a metodologia de concessão não vinculativa, isto é, passível de oposição e indeferimento, nos moldes de outras atividades de cooperação na área de propriedade industrial, como o Protocolo de Madrid. Registrou-se ainda que a metodologia de registro vinculativo e não passível de indeferimento, contido na minuta da Resolução GMC, é de difícil operacionalização porquanto não há harmonização legislativa sobre indicação geográfica nos Países Partes do Mercosul. ;DIRMA;"Parecer nº 00001/2018/CGPI/PFE-INPI/PGF/AGU
Parecer nº 243/2018/CONJUR-MDIC/CGU/AGU
Nota Técnica nº 9/2018-SEI-COIPI/DEINE/SIN
Nota Técnica nº 002/2018/DIRMA/CGMID
";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2018/26-parecer-n-00019-2018-procgab-pfe-inpi-pgf-agu.pdf
Patentes;Parecer PFE;15;2018;11/04/2018;"
52400.192340/2017-03
";Não;Vigente;Lei Complementar nº 95, de 1995 e do Decreto nº 9.191, de 2017;MINUTA DE INSTRUÇÃO NORMATIVA SOBRE A DESCONCENTRAÇÃO DA ATIVIDADE FINALÍSTICA DE EXAME DO INPI. ;Trata-se de análise de minuta de IN dedicada à desconcentração da atividade finalística do INPI, com a alocação de examinadores de patentes e de marcas nos escritórios de difusão regional. A Procuradoria não verifica óbice jurídico à decisão administrativa de tornar definitiva, embora revogável, a desconcentração da atividade finalística do INPI. Sugere-se, contudo, a revisão da minuta da IN. ;DIRPA;"1. Parecer nº 0010-2016-AGU/PGF/PFE/INPI/COOAD-EMS-1. 0, aprovado pelo Despacho nº 0259/2016-AGU/PGF/PFE/INPI/COOAD-LBC-3. 2. 3;
2. Parecer nº 0012-2016-AGU/PGF/PFE/INPI/COOAD-LBC-1. 0;
3. Nota nº 0088-2016-AGU/PGF/PFE/INPI/COOAD-EMS-2. 8;
4. Nota nº 0091-2016-AGU/PGF/PFE/INPI/COOAD-EMS-2. 8, aprovada pelo Despacho nº 294/2016-AGU/PGF/PFE/INPI/COOAD-LBC-3. 2. 3,
5. Nota nº 0095-2016-AGU/PGF/PFE/INPI/COOAD-LBC-2. 8;
6. Nota nº 0270-2016-AGU/PGF/PFE/INPI/COOAD-DJT-2. 8, aprovada pelo Despacho nº 0617/2016-AGU/PGF/PFE/INPI/COOAD-LBC-3. 2. 3;
7. Nota nº 00284-2017-AGU/PGF/PFE/INPI/COOAD-LBC-2. 8. ";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2018/25-parecer-n-00015-2018-procgab-pfe-inpi-pgf-agu.pdf
Marcas;Nota PFE;4;2018;10/04/2018;52400.043829/2018-25;Não;Vigente;"Art. 37 e 105 da Constituição Federal
Art. 961 e 965 do NCPC";REGISTRO DE MARCAS, PATENTES OU INVENÇÕES;Trata-se de processo instaurado pela DIRMA submetido à Procuradoria para análise de pedido de anotação de transferência de registro marcário fundado em em sentença judicial estrangeira. A DIRMA espera orientações das providências cabíveis na espécie, haja vista se tratar de aparente pedido de cumprimento de sentença proferida pelo Segundo Tribunal Cível de Ancona, na Itália. ;DIRMA;0;https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2018/9-nota-n-00004-2018-cgpi-pfe-inpi-pgf-agu.pdf
Marcas;Nota PFE;5;2018;10/04/2018;52400.200368/2017-13;Não;Vigente;"Art. 37 e 105 da Constituição Federal
Art. 961 e 965 do NCPC";REGISTRO DE MARCAS, PATENTES OU INVENÇÕES;Trata-se da análise de pedido de anotação de transferência de registro marcário fundado em sentença judicial estrangeira. Manifestação no sentido de que o INPI não pode atender à solicitação de anotação da transferência do registro marcário, posto que a homologação de sentenças estrangeiras deve ser realizada pelo STJ, oportunidade em que passa a ter eficácia no Brasil, após o que deverá ser requerido seu cumprimento junto à Justiça Federal. Observância do princípio da legalidade. ;DIRMA;0;https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2018/11-nota-n-00005-2018-cgpi-pfe-inpi-pgf-agu.pdf
Patentes;Nota PFE;7;2018;10/04/2018;52400.112797/2018-15;Não;Vigente;"Art. 105 da Constituição Federal
Art. 961 e 965 do NCPC";"PATENTE
";Trata-se de indicação parlamentar que tem por base o processo de inovação e incorporação tecnológica no complexo produtivo da saúde. A Procuradoria comenta o documento de indicações e faz esclarecimentos levando em conta medidas e resoluções internas, solicitando ainda sejam encaminhados à comissão solicitante da consulta, os processos, relatórios, pesquisas e estudos feitos pelo INPI a respeito da proposta de procedimento simplificado de concessão de patente a fim de viabilizar um esclarecimento adequado da Comissão sobre as razões que levaram à apresentação da medida excepcional. ;DIRPA;Despacho de aprovação nº 66/2018;https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2018/15-nota-n-00007-2018-cgpi-pfe-inpi-pgf-agu.pdf
Normas;Nota PFE;1;2018;16/03/2018;52400.014267/2018-11;Não;Vigente;"Projeto de Lei Complementar nº 62, de 2017
EC 85/2015";ATOS ADMINISTRATIVOS;Trata-se de solicitação para análise a respeito do Projeto de Lei Complementar nº 62, de 2017, que institui o INOVA SIMPLES, um mecanismo de apoio à inovação das empresas simples de inovação. A Procuradoria sugere que a posição do INPI seja favorável, porém com sugestão de modificações. ;Presidência do INPI;DESPACHO DE APROVAÇÃO n. 00052/2018/PROCGAB/PFE-INPI/PGF/AGU;https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2018/1-nota-n-00001-2018-cgpi-pfe-inpi-pgf-agu.pdf
Administrativo;Parecer PFE;14;2018;14/03/2018;52400.037603/2018-95;Não;Vigente;Art. 65, §§ 1º e 2º, da Lei 8.666/1993;Administrativo. Aditivo de acréscimo contratual. ;Trata-se de consulta a respeito da possibilidade de se promover aditivo de acréscimo contratual observado os limites do art. 65, §§ 1º e 2º, da Lei 8. 666/1993. A Procuradoria entende ser viável juridicamente promover termo aditivo de acréscimo respeitado o limite de 25% sobre o valor global do contrato, se este decorre de adjudicação pelo preço global. O valor do contrato é o parâmetro para se calcular os percentuais limitadores estabelecidos no art. 65, §1º, da Lei nº 8. 666, de 1993. ;Câmara Permanente de Licitações e Contratos Administrativos (CPLC) do Departamento de Consultoria da PGF;"Parecer nº 003-2017-AGU/PGF/PFE/INPI/COOAD-LBC-1. 0
Parecer nº 00026/2018/CGMA/PFE-INPI/PGF/AGU";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2018/24-parecer-n-00014-2018-procgab-pfe-inpi-pgf-agu.pdf
Indicações geográficas;Parecer PFE;1;2018;12/03/2018;52400.019655/2018-80;Não;Vigente;"Art. 177 e 178, da LPI
Art. 22 do TRIPS";ATOS ADMINISTRATIVOS E OUTROS;Trata-se da possibilidade de concessão de indicação geográfica de nomes gentílicos e nomes não propriamente geográficos à luz da legislação brasileira. A consulta se deve à existência de algumas indicações geográficas na lista fornecida pela União Europeia que não consubstanciam efetivamente nome geográfico, tal como parecem exigir os arts. 177 e 178 da LPI e as normas internas do INPI. Em conclusão, opinou-se no sentido de que pedidos de IG que façam alusão a nomes gentílicos merecem, tanto quanto pedidos apoiados em topônimos, a proteção conferida pelos art. 177 e 178, da LPI, ao passo que, por outro lado, pedidos lastreados em nomes não geográficos estão situados fora do espectro de proteção da legislação brasileira, uma vez que não admitida, afinal, qualquer forma de interpretação que contrarie frontalmente o texto legal. ;DIRMA;DESPACHO DE APROVAÇÃO n. 00074/2018/PROCGAB/PFE-INPI/PGF/AGU;https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2018/3-parecer-ig-n-00001-2018-cgpi-pfe-inpi-pgf-agu.pdf
Patentes;Parecer PFE;9;2018;28/02/2018;"
52400.180056/2017-86
";Não;Vigente;Arts. 10 e 18 da Lei nº 9.279, de 1996;PROPOSTA DE RESOLUÇÃO PARA REDUZIR O BACKLOG DE PATENTES POR MEIO DA INCORPORAÇÃO DE EXAMES REALIZADOS EM OUTROS ESCRITÓRIOS DE PATENTE;Trata-se de análise de proposta de ato normativo que discute mecanismos para agilizar o exame de patentes a partir de exames já realizados em outros escritórios de patente. A Procuradoria não identifica óbice jurídico à adoção da proposta normativa, porém encaminhou à DIRPA para análise antes do parecer final, bem como remeteu perguntas ao autor da proposta. ;DIRPA;"Parecer nº 0001-2017-AGU/PGF/PFE/INPI/COOPI-LBC-1. 0
Parecer nº 32-2017-AGU/PGF/PFE/INPI/COOPI-LBC-1. 0";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2018/21-parecer-n-00009-2018-procgab-pfe-inpi-pgf-agu.pdf
Patentes;Parecer PFE;7;2018;27/02/2018;52400.021402/2018-76;Não;Vigente;Lei nº 9.279, de 1996;ATO NORMATIVO ADMINISTRATIVO;Trata-se de análise de minuta de resolução que disciplina o processo de prioridade de pedidos de patente prioridade BR. A Procuradoria não identifica óbice jurídico à publicação da resolução, ressaltando que o escritório de segundo exame possui a liberdade de alcançar uma conclusão diametralmente oposta àquela expedida pela entidade que examinou o pedido em primeiro lugar. ;DIRPA;"Parecer nº 26-2015-AGU/PGF/PFE/INPI/COOPI-LBC-1. 0
Nota nº 0013-2016-AGU/PGF/PFE/INPI/COOPI-LBC-2. 2
Resolução INPI/PR nº 180, de 2017";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2018/16-parecer-7-2018.pdf
Patentes;Parecer PFE;8;2018;27/02/2018;52400.017242/2018-61;Não;Vigente;Art. 170 a 179 da Constituição da República;ATOS ADMINISTRATIVOS;Trata-se de minuta de resolução que disciplina o processo de prioridade de pedidos de patente MPEs. A Procuradoria não identifica óbice jurídico à publicação da resolução, ressaltando que a minuta atende aos três requisitos básicos para a adoção de um mecanismo de prioridade. ;DIRPA;"Parecer nº 0023-2015-AGU/PGF/PFE/INPI/COOPI-LBC-1. 0
Nota nº 0266-2015-AGU/PGF/PFE/INPI/COOPI-LBC-2. 1
Resolução INPI/PR nº 160, de 17 de fevereiro de 2016
Resolução INPI/PR nº 181, de 21 de fevereiro de 2017";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2018/19-parecer-n-00008-2018-procgab-pfe-inpi-pgf-agu.pdf
Patentes;Parecer PFE;5;2018;06/02/2018;52400.014393/2018-67;Não;Vigente;"PL 173 de 2017
Art. 33 e 36 da LPI";Patentes. PL 173 de 2017 - alteração dispositivos LPI;"Trata-se da análise de emendas apresentadas ao Projeto de Lei do Senado nº 173, de 2017. A Procuradoria manifesta-se favorável ao PL, com emendas, e aduz: que a redução dos prazos previstos no trâmite do pedido de patente não promoverá a redução do estoque de pedidos pendentes de exame; queo PL reforçaa autonomia administrativa e financeira, o que é salutar para o fortalecimento do INPI no exercício de suas funções institucionais; que se recomenda a não-alteração da natureza jurídica da retribuição que remunera os serviços do INPI. ";DIRPA;Nota nº 157/2017;https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2018/13-parecer-n-00005-2018-procgab-pfe-inpi-pgf-agu.pdf
Patentes;Parecer PFE;2;2018;02/02/2018;52400.005808/2018-10;Não;Vigente;"Art.145, II da Constituição Federal 
Art. 77 doCódigo Tributário Nacional (CTN)
Lei nº 5.172, de 25 de outubro de 1966.";TERCEIRIZAÇÃO DO EXAME DE PEDIDO DE PATENTE. ;Trata-se de análise de parecer sobre terceirização de exame de pedido de patente, emitido por escritório privado. A Procuradoria manifestar não ser contrária à tese da legalidade de se contratar terceiros à execução de atividades que contribuam ao exame de pedidos de patente, mas reconhece que a compreensão da matéria está longe de ser unânime no País, particularmente no âmbito dos órgãos de controle. ;DIRPA;"Ação civil pública nº 0100012-21. 2017. 5. 01. 0051 na Justiça do Trabalho do Rio de Janeiro
Acórdão nº 256/2005 TCU - Plenário";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2018/6-parecer-n-00002-2018-procgab-pfe-inpi-pgf-agu.pdf
Marcas;Parecer PFE;4;2018;31/01/2018;"
52400.011963/2018-67
";Não;Vigente;Art. 220 da LPI;ATIVIDADE FIM;"Trata-se de consulta sobre o fluxo de procedimentos a ser adotado pela DIRMA à luz da Resolução INPI/PR nº 194, de 2017, que trata de reconstituição e restauração de autos administrativos. Concluiu-se que: não se identifica óbice jurídico à unificação das publicações previstas no art. 4º, parágrafo único, e art. 8º, §1º, ambos da Resolução INPI/PR nº 194, de 2017; a publicação conjunta dos atos, tal como pretendida pela DIRMA, constitui-se medida de eficiência, porquanto acelera o processo administrativo, particularmente quando se sabe que os documentos desaparecidos não se encontram perdidos em algum setor da autarquia, posto que o extravio se deu no âmbito da execução do contrato de guarda e digitalização; verificada a impossibilidade de restauração/reconstituição de documentos, o arquivamento previsto no art. 10, I, da Resolução INPI/PR nº 194, de 2017, é medida que se impõe somente quando os autos não tiverem informações aptas ao prosseguimento do feito; o arquivamento do processo ocorre quando preenchidos dois requisitos cumulativos, nos termos do art. 10, I, da Resolução INPI/PR nº 194, de 2017: (I) impossibilidade de restauração/reconstituição; (II) inexistência de elementos suficientes para o processo retomar a tramitação regular; o arquivamento do processo incidente (oposição), com fulcro no art. 10, I, da Resolução INPI/PR nº 194, de 2017, não enseja igual providência ao processo principal (pedido de registro). ";DIRMA;"Resolução INPI nº 194/2017
Parecer nº 5/2016
Nota nº 29/2017";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2018/10-parecer-n-00004-2018-procgab-pfe-inpi-pgf-agu.pdf
Marcas;Parecer PFE;3;2018;29/01/2018;"
52400.002404/2018-66
";Não;Vigente;Art. 17 Lei nº 6015/1973;DISPONIBILIZAÇÃO DO CERTIFICADO DE REGISTRO A TODOS OS USUÁRIOS. ;Trata-se de consulta acerca da viabilidade da DIRMA disponibilizar o certificado de registro marcário a todos os usuários, pelo simples acesso ao portal do INPI com login e senha. Opinou-se no seguinte sentido: não há informações no certificado de registro que digam respeito à intimidade ou privacidade dos titulares, sendo assim, os dados contidos no certificado de registro não são confidenciais e são os mesmos contidos nas publicações da RPI, não se identificando óbice jurídico à disponibilização do certificado de registro a terceiro. ;DIRMA;"Parecer 06/2014 AGU/PGF/PFE/INPI
Nota 212/2014 AGU/PGF/PFE/INPI";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2018/8-parecer-n-00003-2018-procgab-pfe-inpi-pgf-agu.pdf
Patentes;Parecer PFE;1;2018;24/01/2018;52400.002142/2018-30;Não;Vigente;"Art. 47 da Lei nº 13.123, de 2015
Arts. 34 e 35 da Lei nº 9.279, de 1996";FORMULAÇÃO DE EXIGÊNCIA PARA COMPROVAÇÃO DE ACESSO REGULAR AO PATRIMÔNIO GENÉTICO E/OU CONHECIMENTO TRADICIONAL ASSOCIADO NO CURSO DO PEDIDO DE PATENTE;"I. As exigências formuladas no curso do exame, previstas nos arts. 34 e 35 da Lei nº 9. 279, de 1996, quando não respondidas, geram o arquivamento do pedido, pelo seguinte motivo: a lei adota a presunção de que o silêncio do depositante prejudica a conclusão do exame. II. A obrigação do depositante de apresentar o número de cadastro do SisGen não tem pertinência com o exame do pedido. O art. 47 da Lei nº 13. 123, de 2015, indica que a ausência de cadastramento, ou da autorização de acesso, prejudica a concessão, e não o exame. Nessa linha de raciocínio, o INPI não está obrigado a promover o arquivamento do pedido se o depositante não responder à exigência para apresentação de acesso regular ao patrimônio genético e/ou conhecimento tradicional associado. III. O INPI tem a prerrogativa de escolher qual procedimento melhor atinge a finalidade da lei: a) promover o arquivamento do pedido quando o depositante não responde uma exigência referente à comprovação de acesso regular ao patrimônio genético e/ou conhecimento tradicional associado (procedimento previsto no despacho/código 6. 6); ou b) adotar uma presunção de que o depositante não acessou o patrimônio genético e/ou conhecimento tradicional associado, quando ele não responde à exigência formulada (procedimento previsto no despacho/código 6. 6. 1). IV. Formulada a exigência à luz do despacho/código 6. 6, mostra-se obrigatório o arquivamento do pedido quando o depositante não responde a exigência. V. Formulada a exigência à luz do despacho/código 6. 6. 1, a Administração está dispensada de promover o arquivamento do pedido. VI. Não se identifica óbice jurídico à adoção da seguinte presunção iuris tantum: o depositante não acessou ao patrimônio genético e/ou conhecimento tradicional associado quando não se manifestou frente à exigência formulada sob o código/despacho 6. 6. 1. ";DIRPA;Parecer nº 0050-2017-AGU/PGF/PFE/INPI/COOPI-LBC-1. 0;https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2018/4-parecer-patente-n-00001-2018-procgab-pfe-inpi-pgf-agu.pdf
Patentes;Parecer PFE;1;2018;24/01/2018;52400.002142/2018-30;Não;Vigente;Lei 13.123/2015;"FORMULAÇÃO DE EXIGÊNCIA PARA COMPROVAÇÃO DE ACESSO REGULAR AO PATRIMÔNIO GENÉTICO E/OU CONHECIMENTO TRADICIONAL ASSOCIADO NO CURSO DO PEDIDO DE PATENTE

";Trata-se de consulta sobre a publicação automática de despacho solicitando aos usuários do sistema de patente a apresentação do número de cadastro oferecido pelo SisGen. O saneamento dos processos faz-se necessário pelo disposto na Lei 13. 123/2015. A Procuradoria conclui que a exigência para o depositante informar se acessou o patrimônio genético e/ou conhecimento tradicional associado, e apresentar o número de cadastro junto ao SisGen, não precisa acarretar o arquivamento do pedido, quando o INPI não recebe a resposta. Havendo prévia definição do procedimento, não há óbice jurídico para o INPI adotar a presunção relativa de que a não manifestação do depositante corresponde a uma declaração negativa de acesso, passível prova contrária do acesso. ;DIRPA;Parecer nº 0050-2017-AGU/PGF/PFE/INPI/COOPI-LBC-1. 0. ;https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2018/5-parecer-1_2018-patente.pdf
Patentes;Nota Técnica;1;2018;15/01/2018;52400.001695/2018-75;Não;Vigente;Projeto de Lei nº 158, de 2012;PLANOS, PROGRAMAS E PROJETOS DE TRABALHO. Patentes verdes. ;Trata-se de solicitação de exame versando o Projeto de Lei nº 158, de 2012, que tem por objetivo instituir a prioridade de tramitação de pedidos de patentes verdes. A Procuradoria se manifesta de maneira contrária ao PL e ratifica o conteúdo das seguintes manifestações: Nota nº 0428-2012-AGU/PGF/PFE/INPI/COOPI-LBC-2. 8, Despacho nº 0821/2012-AGU/PGF/PFE/INPI/COOPI-MSM-3. 2. 3 e Despacho nº 0524/2017-AGU/PGF/PFE/INPI/COOADLBC-3. 2. 3. ;DIRPA;Nota nº 0428-2012-AGU/PGF/PFE/INPI/COOPI-LBC-2. 8;https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2018/2-nota-tecnica-n-00001-2018-procgab-pfe-inpi-pgf-agu.pdf
Patentes;Parecer PFE;53;2017;21/12/2017;52400.127208/2017-12;Não;Vigente;"Art. 5º, XXIX, da Constituição de 1988.
Art. 10 da LPI.
Art. 27 do TRIPS";Diretrizes de exame de pedidos de patente na área química. ;Trata-se da análise jurídica das diretrizes de exame de pedidos de patente na área química. A Procuradoria não levantou óbice jurídico à aprovação. Ressaltou-se que a divulgação dos critérios que norteiam o exame de patentes viabiliza a segurança jurídica, não cabendo ao INPI incrementar administrativamente o rol de matérias excluídas de proteção patentária estabelecido no INPI. ;DIRPA;"Parecer nº 0001-2016-AGU/PGF/PFE/INPI/COOPI-LBC-1. 0
Parecer 0026-2013-AGU/PGF/PFE/INPI/COOPI-LBC-1. 0";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2017/44-parecer-no-0053-2017.pdf
